# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:55826 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37024 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37040 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37050 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37022 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44992 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45018 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45008 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44982 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55434 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55440 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55432 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55446 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57278 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57290 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57286 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57276 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46484 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46470 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46460 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46498 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54870 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54886 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54888 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54858 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44526 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44520 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44536 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44510 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47076 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47064 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47048 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47046 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33690 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33670 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33680 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33654 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33800 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33806 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33786 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33770 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38546 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38550 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38544 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38560 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51600 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51612 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51616 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51588 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50896 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50886 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50872 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50870 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40338 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40350 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40366 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40336 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54496 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54472 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54488 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54462 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60068 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60082 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60096 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60066 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56108 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56128 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56122 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56104 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58996 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59012 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59026 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58990 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55910 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55930 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55924 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55900 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36808 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36814 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36818 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36796 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42914 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42918 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42926 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42908 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42872 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42900 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42884 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42868 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37210 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37220 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37212 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37204 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43268 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43274 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43282 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43256 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56564 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56562 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56578 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56550 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52390 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52394 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52398 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52374 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52398 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52394 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52390 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52374 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38576 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38572 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38556 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38550 - "GET /analytics/summary HTTP/1.1" 200 OK
