# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35692 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35710 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35706 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35686 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37708 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37712 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37720 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37694 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40582 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40568 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40572 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:40560 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42620 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42632 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42634 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42610 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58984 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58998 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59012 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58986 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33774 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33796 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33784 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33758 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51346 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51354 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51350 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51344 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59298 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59280 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59310 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:59278 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44690 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44688 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44704 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44674 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57448 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57460 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57476 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57438 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51070 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51074 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51054 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51050 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55810 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55838 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55850 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55808 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41798 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41822 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41788 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41808 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52880 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52896 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
